Week,Posts,PostsInWeek
2, Hasbro    StarWars   Hasbro    StarWars  toys do not have Rey included http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …   WhereIsRey   sexism,314
2, Hasbro  http://www.geek girl authority.com/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …   WhereIsRey  ,314
2,"Dude,  Disney Studios. WHERE THE FUCK IS REY.   WhereIsRey  ",314
2,jes_chastain the fight is never over: http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …   WhereIsRey  ,314
2,  WhereIsRey     WhereIsRey     WhereIsRey     WhereIsRey    WhereIsRey     WhereIsRey     WhereIsRey     WhereIsRey  ,314
2,  WhereIsRey   wheresblackwidow wheresgamora  WhereIsRey   wheresblackwidow wheresgamora,314
2,"What happened to not being gender biased,  Target ? Why Rey being left out the  StarWars  merch and sets???   WhereIsRey  ",314
2,I don't think  Hasbro  ever even acknowledged WheresNatasha or WheresGamora so I shouldn't expect them to do anything about   WhereIsRey  ,314
2, Target    WhereIsRey   wheresphasma wheresthefemaleactionfigures,314
2,We all love   StarWars  We all love   StarWars  ,314
2,Enough already! Haven't we learned anything  Target  and  Hasbro News  WhereIsRey  http://bit.ly/1OEReCU ,314
2," Target : Where ""Exclusive"" Means ""Excluding  girl ""   WhereIsRey   http://buff.ly/1lkskvY ",314
2,My daughter likes   StarWars  My daughter likes   StarWars  ,314
2,Fantastic piece by Heroic girl  about how  Target  is excluding females from toy sets. http://www.heroic girl .com/ Target whereexclusivemeansexcluding girl / …?ssr=true   WhereIsRey  ,314
2,Are you INSANE  Target   Hasbro ? The main characters of the film are  girl ! You give us random pilots??   WhereIsRey   http://www.heroic girl .com/ Target whereexclusivemeansexcluding girl /?utm_content=buffer5af3b&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer …,314
2, Target  Does “Exclusive” mean “Excluding  girl ”?,314
2, Target  and  Disney    WhereIsRey  ,314
2,guardianfilm Scarlett Johansson was second highest paid but no Black Widow toys or film while TheForceAwakenstoys is no Rey  WhereIsRey View conversation ,314
2,"Hey  Target ,   WhereIsRey     StarWars  ",314
2,Your fans deserve better. Don't leave out your female main character to pander to the least common denominator  Hasbro   Target    WhereIsRey  ,314
2,GeonnCannon  Target  I'm so tired of not being surprised by this crap.   WhereIsRey  View conversation ,314
2," Target , I got love for you. But why would you do this?   WhereIsRey  To reiterate,  Hasbro  and  Target  are releasing this set with no female characters. No Leia, Rey, Phasma: http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …",314
2,Umm... Where are the  girl ? Sheesh... 'Heroic' toys have a long way to come   WhereIsRey   http://www.heroic girl .com/ Target whereexclusivemeansexcluding girl / …Umm... Where are the  girl ? Sheesh... 'Heroic' toys have a long way to come   WhereIsRey   http://www.heroic girl .com/ Target whereexclusivemeansexcluding girl / …View photo ,314
2,"  WhereIsRey  To reiterate,  Hasbro  and  Target  are releasing this set with no female characters. No Leia, Rey, Phasma: http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …",314
